date,description,counterparty,debit,credit,balance,account,category
2024-07-31,Cheque book charges,TCS eCourier,1481,0,-661335,Cash,Bank Charges
2024-07-31,Sold steel drums,Meezan Bank,0,385624,-19789446,Cash,Sales - Steel Drums
2024-07-31,Gas charges,Pakistan Drums Co,4512,0,7005971,Bank,Utilities
2024-07-31,Cheque book charges,Metro Traders,2024,0,-7278191,Cash,Bank Charges
2024-08-01,Notebook order,Meezan Bank,13836,0,-736041,Cash,Office Supplies
2024-08-01,Invoice steel drums,al-baraka bank,0,870125,-10038070,Bank,Sales - Steel Drums
2024-08-01,Petty cash expense,HTG Petro,5538,0,-390456,Bank,Miscellaneous
2024-08-01,Godowrn rent,Regular Client,61696,0,-3299961,Bank,Rent
2024-08-01,Sold plastic drums,City Freight,0,70339,-4050508,Bank,Sales - Plastic Drums
2024-08-01,Shop rent,Al-Baraka Bank,26337,0,-13182315,Bank,Rent
2024-08-01,Reconditioning expense,Bank Al Falah,24509,0,4316789,Bank,Refurbishing Costs
2024-08-01,Reconditioning expense,Meezan Bank,76011,0,-9638257,Cash,Refurbishing Costs
2024-08-01,Monthly warehouse rent,Pakistan Drums Co,50148,0,-11949971,Bank,Rent
2024-08-01,Bought steel drums HTG Petro,M Ehtishapm,573064,0,-746784,Bank,Purchases - Steel Drums
2024-08-01,Steel drums dispatched,TCS Courier,0,829771,-1157176,Bank,Sales - Steel Drums
2024-08-01,Transport expense,Waltk-in Customer,58947,0,-15502286,Bank,Freight & Conveyance
2024-08-01,Internet bill,Metro Traders,12642,0,-15413793,Cash,Utilities
2024-08-01,Electricity bill,TCS Courier,16585,0,-2332646,Bank,Utilities
2024-08-02,Godown rent,Punjab Chemicalgs,35246,0,-20860437,Cash,Rent
2024-08-02,Drums conveyance,Regular Client,48311,0,-19340300,Cash,Freight & Conveyance
2024-08-02,Purchagse plastic drums,City Freight,81929,0,-9986066,Bank,Purchases - Plastic Drums
2024-08-02,Online transfer fee,Al-Baraka Bank,583,0,-20782065,Cash,Bank Charges
2024-08-02,Bank commission,M Ehtisham,1038,0,-19160513,Cash,Bank Charges
2024-08-02,Bought plastic drums,Punjab Chemicals,163716,0,-21127939,Cash,Purchases - Plastic Drums
2024-08-02,Water bill,Pakistan Drums Co,11964,0,-5090426,Bank,Utilities
2024-08-02,Bank commission,TCS Courier,3867,0,-21136483,Bank,Bank Charges
2024-08-02,Purchase plastic drums,Pakistan Drums Co,171327,0,-24442056,Cash,Purchases - Plastic Drums
2024-08-02,Plastic drums delivered,Bank Al Falah,0,141669,6091341,Cash,Sales - Plastic Drums
2024-08-02,sold reconditioned drums,regular client,0,106440,-21634334,Bank,Sales - Refurbished Drums
2024-08-02,Eflectricity bill,Regular Client,5626,0,-9999871,Bank,Utilities
2024-08-02,Purchase steel drums,metro traders,612851,0,-10917786,Bank,Purchases - Steel Drums
2024-08-02,Bought IBC tanks HTG Petro,Habirb Bank,138556,0,8107487,Cash,Purchases - IBC Tanks
2024-08-03,Water bill,Local Supplier,18722,0,-19961679,Bank,Utilities
2024-08-03,Refurbishged steel drums invoice,Local Supplier,0,117736,-15781318,Cash,Sales - Refurbished Drums
2024-08-03,Steel drum procurement,Punjab Chemicals,741332,0,-18967017,Cash,Purchases - Steel Drums
2024-08-03,IBC tanks received bill,al-baraka bank,309398,0,-7254213,Bank,Purchases - IBC Tanks
2024-08-03,Bought stoeel drums HTG Petro,Punjab Chemicals,447050,0,-7701263,Bank,Purchases - Steel Drums
2024-08-03,IBC tank csale,Regular Client,0,567404,-6989210,Bank,Sales - IBC Tanks
2024-08-03,IBC tanks received bill,Pakistan Drudms Co,200940,0,-25858289,Bank,Purchases - IBC Tanks
2024-08-03,Sundry charges,Pakistan Drums Co,6230,0,-2122679,Bank,Miscellaneous
2024-08-03,plastic drums received,Pakistan Drumsd Co,98810,0,-23017932,Cash,Purchases - Plastic Drums
2024-08-03,Sundry charges,HTvG Petro,8037,0,5933509,Bank,Miscellaneous
2024-08-03,frefurbished drum sale,TCS Courier,0,111571,-22449773,Bank,Sales - Refurbished Drums
2024-08-03,Steel drums received,Habib Bank,476791,0,-8974364,Bank,Purchases - Steel Drums
2024-08-04,Notebook order,Habib Bank,8485,0,-21966617,Bank,Office Supplies
2024-08-04,Invoice plastic drums,Meezan Bank,0,45766,-10717903,Bank,Sales - Plastic Drums
2024-08-04,Plastic drum savle,Pakistan Drums Co,0,168729,-845603,Bank,Sales - Plastic Drums
2024-08-04,IBC tank sale,M Ehtisham,0,584762,-11330741,Cash,Sales - IBC Tanks
2024-08-04,Bank commission,Locsal Supplier,3148,0,-5016926,Cash,Bank Charges
2024-08-04,Plastic drums delivered,Al-Baraka Bank,0,97332,-14229626,Bank,Sales - Plastic Drums
2024-08-04,Phone bill,Metro Traders,3009,0,2905009,Cash,Utilities
2024-08-04,Sold plastic drums,TCS lCourier,0,73931,-20884461,Bank,Sales - Plastic Drums
2024-08-04,Sundry charges,Punjab Chemicals,3550,0,-22228639,Cash,Miscellaneous
2024-08-04,Sold reconditioned drums,Meezan Bank,0,71238,7159565,Bank,Sales - Refurbished Drums
2024-08-04,Bought plastic drums,Regular Client,113636,0,-6700991,Bank,Purchases - Plastic Drums
2024-08-04,Notebook order,Regdular Client,4935,0,-13656506,Bank,Office Supplies
2024-08-05,Reconditioned barrel sale,Bank Al Falah,0,79596,-17497052,Cash,Sales - Refurbished Drums
2024-08-05,Freight charges,Punjab Cahemicals,40708,0,-20992538,Cash,Freight & Conveyance
2024-08-05,Bought plastic drums,Al-Barakaj Bank,162642,0,-10049996,Cash,Purchases - Plastic Drums
2024-08-05,IBC tank procurement,Metro Traders,171429,0,-3012651,Cash,Purchases - IBC Tanks
2024-08-05,Online transfer fee,Punjab Chemicals,2229,0,-6999,Cash,Bank Charges
2024-08-05,Customer payment plastic drums,Punjab Chemicals,0,182856,2934770,Bank,Sales - Plastic Drums
2024-08-05,Cheque book charges,Habib Bank,1180,0,5663198,Bank,Bank Charges
2024-08-05,Bank commission,Bank Al Falah,2095,0,-19060647,Bank,Bank Charges
2024-08-05,Drums conveyance,Walk-in Customer,8790,0,359919,Cash,Freight & Conveyance
2024-08-05,General expense,Habib Bank,8058,0,-10661600,Cash,Miscellaneous
2024-08-05,Drum repair materials,TCS Courier,28831,0,2853687,Bank,Refurbishing Costs
2024-08-05,Invoice steel drums,City Freight,0,722791,-21808903,Bank,Sales - Steel Drums
2024-08-05,Plastic drums received,Walk-in Customer,197162,0,-10017813,Cash,Purchases - Plastic Drums
2024-08-05,Drum refurbishing labour,Pakistan Drums Co,71038,0,-21467961,Bank,Refurbishing Costs
2024-08-05,ibc tank procurement,TCS Courier,219178,0,-3236878,Cash,Purchases - IBC Tanks
2024-08-05,Refurbished drum sale,Metro Traders,0,27190,-22182638,Bank,Sales - Refurbished Drums
2024-08-05,Customer pickup steel drums,HTGs Petro,0,565840,-15262971,Cash,Sales - Steel Drums
2024-08-05,IBC tank procurement,City Freight,319839,0,-22406522,Cash,Purchases - IBC Tanks
2024-08-06,Delivery charges,TCS Courier,24847,0,-22995315,Cash,Freight & Conveyance
2024-08-06,Storage remnt paid,Bank Al Falah,51172,0,-18323547,Bank,Rent
2024-08-06,Plastic drum sale,Punjab Chemicals,0,187645,-18452899,Cash,Sales - Plastic Drums
2024-08-06,IBC tank procurement,Metro Traders,551087,0,-24066635,Cash,Purchases - IBC Tanks
2024-08-06,Godown rent,Meezan Bank,66113,0,-18623587,Cash,Rent
2024-08-06,Gas charges,Local Supplier,11620,0,-21020826,Cash,Utilities
2024-08-06,Customer IBC payment,city freight,0,352558,-15990293,Bank,Sales - IBC Tanks
2024-08-06,IBC tank procurement,HTG Petro,121222,0,-12357085,Cash,Purchases - IBC Tanks
2024-08-06,Bought plastic drums,City Freight,38676,0,-18974660,Bank,Purchases - Plastic Drums
2024-08-06,Steelk drum sale,Habib Bank,0,646718,-18295389,Bank,Sales - Steel Drums
2024-08-06,Petty cash expense,Punjab Chemicals,6426,0,-23759211,Bank,Miscellaneous
2024-08-06,Delivery charges,M Ehtisham,50494,0,1573669,Cash,Freight & Conveyance
2024-08-06,Bank service charges,M Ehtisham,3556,0,-22310895,Cash,Bank Charges
2024-08-06,Reconditioned barrel sale,TCS Courier,0,107927,-21436210,Cash,Sales - Refurbished Drums
2024-08-07,Purchase plastic drums,City Freight,51072,0,-3311758,Cash,Purchases - Plastic Drums
2024-08-07,Bank sdervice charges,Al-Baraka Bank,3293,0,-1720876,Cash,Bank Charges
2024-08-07,sold plastic drums,TCS Cosurier,0,114250,27693,Cash,Sales - Plastic Drums
2024-08-07,Steel drum sale,Al-Baraka Bank,0,229207,-5942589,Cash,Sales - Steel Drums
2024-08-07,Online transfer fee,Habib Bank,1997,0,8268949,Bank,Bank Charges
2024-08-07,Storage rent paid,HTG Petro,30925,0,106267,Bank,Rent
2024-08-07,IxBC tanks dispatched,Pakistan Drums Co,0,563032,981038,Cash,Sales - IBC Tanks
2024-08-07,Cheque book charges,Al-Baraka Bank,2474,0,-5406593,Cash,Bank Charges
2024-08-07,Paper stock,Pakistan Drums Co,2069,0,4857666,Bank,Office Supplies
2024-08-07,Sold reconditioned drums,M Ehtisham,0,31761,-13536898,Bank,Sales - Refurbished Drums
2024-08-07,Bought plastic drums,Meezan Bank,189432,0,-19411239,Bank,Purchases - Plastic Drums
2024-08-07,Refurbished steel drums invoice,Punjab Chemicals,0,119379,-9821815,Cash,Sales - Refurbished Drums
2024-08-07,Bought steel drums HTG Petro,Bank Al Falah,196955,0,-24620536,Bank,Purchases - Steel Drums
2024-08-07,Bought steel drums HTG Petro,Regular Client,785446,0,-22419780,Bank,Purchases - Steel Drums
2024-08-07,Customer payment plastic drums,Pakistan Drums Co,0,169309,-18183909,Bank,Sales - Plastic Drums
2024-08-07,Office rent,Meezan Bank,70112,0,-14842357,Cash,Rent
2024-08-07,Refurbished drum sale,Al-Baraka Bank,0,109358,-20370867,Cash,Sales - Refurbished Drums
2024-08-08,Bought steel drums HTG Petro,Punjabq Chemicals,433688,0,-15395437,Bank,Purchases - Steel Drums
2024-08-08,Refurbished drum sale,Punjab Chemicals,0,133037,351350,Cash,Sales - Refurbished Drums
2024-08-08,Drum refurbishing labour,Bank Al Falah,39977,0,6023711,Bank,Refurbishing Costs
2024-08-08,Recondiytioned barrel sale,HTG Petro,0,60487,-19374848,Cash,Sales - Refurbished Drums
2024-08-08,Purchase steel drums,Bank Al Falah,543993,0,-14727410,Cash,Purchases - Steel Drums
2024-08-08,Online transfber fee,Al-Baraka Bank,505,0,-5449918,Bank,Bank Charges
2024-08-08,IBC tanks dispatched,HTG Petro,0,797203,-22625734,Bank,Sales - IBC Tanks
2024-08-08,Reconditioning expense,regular client,34519,0,498309,Bank,Refurbishing Costs
2024-08-08,Phone bill,Avl-Baraka Bank,18936,0,-21684667,Cash,Utilities
2024-08-08,Sandblasting cost,Walk-in Customer,21055,0,800363,Bank,Refurbishing Costs
2024-08-08,Purchase plastic drums,Local Supplier,127864,0,-19515576,Bank,Purchases - Plastic Drums
2024-08-08,refurbished steel drums invoizce,Local Supplier,0,98430,-26064368,Cash,Sales - Refurbished Drums
2024-08-09,Godown rent,Meezan Bank,78777,0,-21071315,Cash,Rent
2024-08-09,Papeqr stock,TCS Courier,13850,0,-10416628,Cash,Office Supplies
2024-08-09,Office furniture,Bank Al Falah,9610,0,-20730024,Bank,Office Supplies
2024-08-09,Gas chamrges,Bank Al Falah,13659,0,-9448511,Bank,Utilities
2024-08-09,Bank commission,TCS Courier,2673,0,-4328663,Cash,Bank Charges
2024-08-09,Paint and coatilng drums,M Ehtisham,46673,0,-6432545,Cash,Refurbishing Costs
2024-08-09,Delivery charges,M Ehtisham,27549,0,1493698,Bank,Freight & Conveyance
2024-08-09,Delivery charges,M Ehtisham,9511,0,-14874242,Bank,Freight & Conveyance
2024-08-09,Office rent,HTG Petro,65445,0,-21310103,Cash,Rent
2024-08-09,Customer pickup steel drums,TCS Courier,0,231053,-17233438,Bank,Sales - Steel Drums
2024-08-09,Electricity bill,Habib Bank,7385,0,6035782,Bank,Utilities
2024-08-09,Plastic drums delivered,Meerzan Bank,0,43246,-19637153,Bank,Sales - Plastic Drums
2024-08-09,Bought IBC tanks HTG Petro,al-baraka bank,600509,0,-21396309,Cash,Purchases - IBC Tanks
2024-08-09,Miscellaneous expense,Metro Traders,604,0,-13757111,Bank,Miscellaneous
2024-08-10,general expense,Walk-in Customer,3586,0,6409310,Bank,Miscellaneous
2024-08-10,truck hire drums,TCS Courier,34234,0,-10394461,Cash,Freight & Conveyance
2024-08-10,Steel drums received,Meezan Bank,519871,0,-6032851,Bank,Purchases - Steel Drums
2024-08-10,Plastic drum procurement,m ehtisham,101012,0,-21917719,Bank,Purchases - Plastic Drums
2024-08-10,Freight charges,City Freight,17709,0,-23855401,Bank,Freight & Conveyance
2024-08-10,Steel drums received,punjab chemicals,296277,0,-22306001,Cash,Purchases - Steel Drums
2024-08-10,Online transfer fee,bank al falah,520,0,-14726131,Bank,Bank Charges
2024-08-10,Drum refurbishing labour,Meezan Bank,58150,0,-24087732,Bank,Refurbishing Costs
2024-08-10,Steel drums received,Local Supplier,388531,0,-21382858,Bank,Purchases - Steel Drums
2024-08-11,Purchase plastic drums,Al-Baraka Bank,86733,0,207994,Bank,Purchases - Plastic Drums
2024-08-11,Phone bill,Walqk-in Customer,3981,0,-24120928,Cash,Utilities
2024-08-11,Miscellaneous expense,Punjab Chemicals,514,0,396400,Cash,Miscellaneous
2024-08-11,Phone bill,City Freight,14382,0,-1105562,Bank,Utilities
2024-08-11,IBC tanks received bill,M Ehtishazm,491864,0,-19475201,Cash,Purchases - IBC Tanks
2024-08-11,Monthly warehouse rent,Al-Baraka Bqank,64744,0,2302636,Cash,Rent
2024-08-11,Bnank commission,Pakistan Drums Co,2137,0,4614275,Cash,Bank Charges
2024-08-11,Water bill,Habib Bank,7694,0,-19061599,Cash,Utilities
2024-08-11,Printer ink,mMeezan Bank,14096,0,-10285331,Cash,Office Supplies
2024-08-11,Steel drum procurement,TCS Courier,158184,0,238216,Cash,Purchases - Steel Drums
2024-08-11,IBC tanks received baill,City Freight,282561,0,-22750184,Bank,Purchases - IBC Tanks
2024-08-11,steel drums received,Punjab Chemicals,618717,0,-25003495,Cash,Purchases - Steel Drums
2024-08-11,Customer IBC payment,Local Supplier,0,672486,-21765291,Bank,Sales - IBC Tanks
2024-08-11,internet bill,M Ehtisham,18446,0,-3533172,Bank,Utilities
2024-08-11,Purchase IBC small tanks,yMeezan Bank,699418,0,-20386743,Cash,Purchases - IBC Tanks
2024-08-11,Customer payment plastic drums,Local Supplier,0,174015,503188,Cash,Sales - Plastic Drums
2024-08-11,Paint and coating drums,pakistan drums co,26268,0,-4977303,Cash,Refurbishing Costs
2024-08-12,Bought steel drums HTG Petro,Meezan Bank,431128,0,4464645,Bank,Purchases - Steel Drums
2024-08-12,Refurbished drum sale,TCS Courier,0,72515,-678466,Bank,Sales - Refurbished Drums
2024-08-12,IBC tanks dispatched,City Freight,0,689864,-25011375,Cash,Sales - IBC Tanks
2024-08-12,Shop rent,Local Supplier,36827,0,426587,Bank,Rent
2024-08-12,Purchase steel drums,Al-Baraka Bank,679795,0,301243,Cash,Purchases - Steel Drums
2024-08-12,Reconditioning expense,M Ehtisham,9464,0,6589619,Bank,Refurbishing Costs
2024-08-12,Customer payment plastic drums,M Ehtisham,0,138631,-10199036,Cash,Sales - Plastic Drums
2024-08-12,Gas charges,Punjab Chemicals,6173,0,-19690676,Bank,Utilities
2024-08-12,Phone bill,Metro Traders,2867,0,-18628617,Cash,Utilities
2024-08-12,Printer ink,M Ehtisham,12993,0,-22531694,Bank,Office Supplies
2024-08-13,Bought plastic drums,Habib Bank,153722,0,6578272,Bank,Purchases - Plastic Drums
2024-08-13,Phone bill,habib bank,16738,0,385013,Cash,Utilities
2024-08-13,Notebook order,TCS Courier,10685,0,8453858,Cash,Office Supplies
2024-08-13,Truck hire drums,Al-Baraka Bank,24152,0,-17460279,Cash,Freight & Conveyance
2024-08-13,Reconditioned barrel sale,Mentro Traders,0,50076,-19491378,Bank,Sales - Refurbished Drums
2024-08-13,IBC tank procurement,Punjab Chemicals,253104,0,-10082132,Cash,Purchases - IBC Tanks
2024-08-13,Petty cash expense,TCS Csourier,3603,0,-5926014,Cash,Miscellaneous
2024-08-13,Sandblasting cost,Habib Bank,46827,0,-14393545,Bank,Refurbishing Costs
2024-08-13,Bougrht plastic drums,Walk-in Customer,194499,0,295361,Cash,Purchases - Plastic Drums
2024-08-13,Purchase steel drums,Bank Al Falah,677613,0,-19327746,Bank,Purchases - Steel Drums
2024-08-13,Storage rent paid,Punjab Chemicals,22481,0,4035792,Bank,Rent
2024-08-13,Gas chargees,City Frceight,12001,0,-993420,Cash,Utilities
2024-08-13,invoice steel drums,Habib Bank,0,712581,-18931918,Bank,Sales - Steel Drums
2024-08-13,Sold IBC tanks,pakistan drums co,0,446563,-20804760,Bank,Sales - IBC Tanks
2024-08-13,Drum refurbishing labour,Meezan Bank,11519,0,-19440888,Bank,Refurbishing Costs
2024-08-14,Customer pickupn steel drums,HzTG Petro,0,90725,-2825407,Bank,Sales - Steel Drums
2024-08-14,Freight charges,Habib Bank,41138,0,-3259394,Bank,Freight & Conveyance
2024-08-14,IBC tanks dispatched,Metro Traders,0,757201,-22496308,Bank,Sales - IBC Tanks
2024-08-14,Purchase IBC small tanks,Bank Abl Falah,436099,0,-17183223,Cash,Purchases - IBC Tanks
2024-08-14,Bank service charges,Walk-in Customer,1829,0,-7101380,Cash,Bank Charges
2024-08-14,Petty cash expense,Pakistan Drums Co,7561,0,8351228,Cash,Miscellaneous
2024-08-14,Bank commission,M Ehtisham,3344,0,-16465858,Cash,Bank Charges
2024-08-14,paper stock,TCS Courier,4726,0,-21345630,Bank,Office Supplies
2024-08-14,Gas charges,tcs courier,3632,0,-5143678,Cash,Utilities
2024-08-15,Steel drums dispatched,TCSt Courier,0,737623,-9392017,Cash,Sales - Steel Drums
2024-08-15,Reconditioined barrel sale,Punjab Chemicals,0,45292,-10097648,Bank,Sales - Refurbished Drums
2024-08-15,Bank commissiqon,City Freight,4452,0,-11045113,Bank,Bank Charges
2024-08-15,Refurbished drum sale,m ehwtisham,0,121004,4258817,Cash,Sales - Refurbished Drums
2024-08-15,Monthly warehouse rent,Meezan Bank,72617,0,-22324555,Cash,Rent
2024-08-15,Delivery charges,pakistan drums co,13341,0,-27198090,Bank,Freight & Conveyance
2024-08-15,Online transfer fee,Punjab Chemicals,1164,0,-11899823,Cash,Bank Charges
2024-08-15,Reconditioned barrel sale,City Freight,0,115067,-14397061,Cash,Sales - Refurbished Drums
2024-08-15,Sold IBC tanks,Al-Baraka Bank,0,473850,-22296986,Bank,Sales - IBC Tanks
2024-08-15,Sold reconditioned drums,City Freight,0,41695,-17603449,Cash,Sales - Refurbished Drums
2024-08-15,Steel drum sale,Walk-in Customer,0,63656,-15443339,Cash,Sales - Steel Drums
2024-08-15,Reconditioning expense,City Freight,16821,0,89446,Bank,Refurbishing Costs
2024-08-15,Customer IBC payment,Local Supplier,0,671019,-2116449,Bank,Sales - IBC Tanks
2024-08-15,Bought plastic drums,Meezan Bank,159966,0,5889387,Bank,Purchases - Plastic Drums
2024-08-16,plastic drums delivered,Walk-in Customer,0,136838,-10039445,Bank,Sales - Plastic Drums
2024-08-16,IBC tanks received bill,Punjab Chemicals,191815,0,-10890342,Bank,Purchases - IBC Tanks
2024-08-16,Bought plastic drums,City Freight,159592,0,-18822345,Bank,Purchases - Plastic Drums
2024-08-16,ibc taenk sale,HTG Peatro,0,239145,-19127600,Bank,Sales - IBC Tanks
2024-08-16,Invoice plastic drums,Pakistan Drums Co,0,65517,-8649686,Bank,Sales - Plastic Drums
2024-08-16,Sold reconditioned drums,Local Supplier,0,118754,641555,Bank,Sales - Refurbished Drums
2024-08-16,IBC tanks received bill,City Freight,374163,0,7193688,Bank,Purchases - IBC Tanks
2024-08-16,Electricity bigll,regular client,2520,0,-236541,Bank,Utilities
2024-08-16,Plastic drums delicvered,Habib Bank,0,176328,-17848635,Bank,Sales - Plastic Drums
2024-08-16,Drum refurbishing labour,Walk-in Customer,51555,0,-7099551,Cash,Refurbishing Costs
2024-08-16,Sold plastic drums,Mj Ehtisham,0,33437,1492223,Cash,Sales - Plastic Drums
2024-08-16,monthly warehouse rent,Habib Bank,75236,0,1132368,Cash,Rent
2024-08-16,sandblasting cost,rMeezan Bank,13975,0,-19253728,Cash,Refurbishing Costs
2024-08-17,ibc tanks received bill,Psakistan Drums Co,301714,0,-23006725,Bank,Purchases - IBC Tanks
2024-08-17,Drum repair materials,M Ehtisham,40918,0,-9801852,Cash,Refurbishing Costs
2024-08-17,Miscellaneous expense,Regular Client,7819,0,-19070790,Cash,Miscellaneous
2024-08-17,online transfer fee,HTG Petro,985,0,-10606818,Cash,Bank Charges
2024-08-17,Godown rent,Metro Traders,45269,0,-20953927,Cash,Rent
2024-08-17,Paint and coating drums,Metro Traders,32891,0,-10427352,Cash,Refurbishing Costs
2024-08-17,Transport expense,pakistan drums co,24395,0,-18952475,Bank,Freight & Conveyance
2024-08-17,General expense,Meezan Bank,3268,0,-21340737,Bank,Miscellaneous
2024-08-17,transport expense,City Freight,54091,0,-7185523,Cash,Freight & Conveyance
2024-08-17,Godown rent,Walk-in Customer,30463,0,-9968742,Bank,Rent
2024-08-17,Sold reconditioned drums,HTG Petro,0,133485,5505150,Bank,Sales - Refurbished Drums
2024-08-18,IBC smalyl tank invoice,Meezan Bank,0,271601,-14346718,Bank,Sales - IBC Tanks
2024-08-18,Onlwine transfer fee,Regular Client,1625,0,-5252081,Bank,Bank Charges
2024-08-18,Delivery charges,Walk-in Customer,14011,0,-5051508,Cash,Freight & Conveyance
2024-08-18,phone bill,Pakistan Drums Co,3586,0,315442,Bank,Utilities
2024-08-18,General expennse,Walk-in Customer,7240,0,-16657929,Bank,Miscellaneous
2024-08-18,Bank service charges,TCS Courier,3178,0,-20795800,Cash,Bank Charges
2024-08-18,Plastic drum sale,City Freight,0,198331,8549559,Bank,Sales - Plastic Drums
2024-08-18,Reconditioned barrel sale,City Freight,0,68586,-20002590,Bank,Sales - Refurbished Drums
2024-08-18,Steel drum procurement,Punjab Chemicals,380252,0,-20500786,Bank,Purchases - Steel Drums
2024-08-18,plastic drums delivered,m ehtisham,0,81519,-649423,Bank,Sales - Plastic Drums
2024-08-18,General expense,Al-Baraka Bank,4549,0,-21922268,Bank,Miscellaneous
2024-08-18,Online transfer fee,Habib Bank,3797,0,-17555069,Cash,Bank Charges
2024-08-18,delivery charges,Habib Bank,19882,0,-19057778,Bank,Freight & Conveyance
2024-08-18,Paper stock,Metro Traders,6870,0,3148767,Cash,Office Supplies
2024-08-18,Paint and coating drums,Regular Client,15689,0,-6288872,Bank,Refurbishing Costs
2024-08-19,IBC small tank invoice,M Ehtisham,0,665321,5388611,Bank,Sales - IBC Tanks
2024-08-19,Bought plastic drums,M Ehtisham,145201,0,-5691174,Bank,Purchases - Plastic Drums
2024-08-19,drum repair materials,bank al faljah,43248,0,-21123681,Bank,Refurbishing Costs
2024-08-19,Petty cash expense,Bank Al Falah,7743,0,-5402101,Cash,Miscellaneous
2024-08-19,Steel drums received,Pakistan Drudms Co,333579,0,-23225010,Cash,Purchases - Steel Drums
2024-08-19,Plastic drum procurement,HTG Petro,85302,0,-20792622,Cash,Purchases - Plastic Drums
2024-08-19,Sold reconditioned drums,Walk-in Customer,0,72386,-23953965,Cash,Sales - Refurbished Drums
2024-08-19,Papder stock,TCS Courier,4723,0,6051057,Cash,Office Supplies
2024-08-19,Plastic drums delivered,Regular Client,0,119061,-13413503,Bank,Sales - Plastic Drums
2024-08-19,yIBC tank procurement,Al-Baraka Bank,405717,0,-9873011,Cash,Purchases - IBC Tanks
2024-08-19,Refurbished steel drums invoice,HTG Petro,0,75598,-6876347,Bank,Sales - Refurbished Drums
2024-08-19,Drum refurbishing labour,Bank Al Falah,32101,0,-9385456,Cash,Refurbishing Costs
2024-08-20,bought ibc tanks htg petro,Memtro Traders,603674,0,-20490303,Cash,Purchases - IBC Tanks
2024-08-20,Plastic drums received,Al-Baraka Bank,184547,0,-22327971,Bank,Purchases - Plastic Drums
2024-08-20,Paint and coating drums,M Ehtisham,16961,0,-19172058,Bank,Refurbishing Costs
2024-08-20,IBC tanks dispatched,Citoy Freight,0,452432,-5490157,Bank,Sales - IBC Tanks
2024-08-20,steelq drum sale,Pakistan Drumos Co,0,268177,-20752649,Cash,Sales - Steel Drums
2024-08-20,Reconditioning expense,Local Supplier,73581,0,-20617319,Bank,Refurbishing Costs
2024-08-20,Reconditioned barrel sale,Meezan Bank,0,63300,-5427785,Cash,Sales - Refurbished Drums
2024-08-20,Refurbished drum sale,M Ehtisham,0,75336,-22216491,Bank,Sales - Refurbished Drums
2024-08-20,Refurbished mdrum sale,Locall Supplier,0,105848,2691282,Bank,Sales - Refurbished Drums
2024-08-20,Gas charges,Regular Client,16847,0,-17881790,Cash,Utilities
2024-08-20,Petty cash expense,HTG Petro,4559,0,1342676,Cash,Miscellaneous
2024-08-20,Officle rent,Local Supplier,41076,0,385435,Cash,Rent
2024-08-20,Bought plastic drums,Punjab Chemicals,122048,0,-19153936,Cash,Purchases - Plastic Drums
2024-08-21,Plastic drums received,Pjakistan Drums Co,182636,0,-7174778,Bank,Purchases - Plastic Drums
2024-08-21,Bought IBC tanks HTG Petro,habib bank,288560,0,-24237167,Bank,Purchases - IBC Tanks
2024-08-21,Delivery charges,Walk-in Customer,52507,0,-18684809,Bank,Freight & Conveyance
2024-08-21,Drumss conveyance,TCS Courier,32593,0,-21843398,Cash,Freight & Conveyance
2024-08-21,Drum repair materials,Bank Al Falah,11176,0,-20899924,Cash,Refurbishing Costs
2024-08-21,Drum refurbishing labour,Regular Client,69751,0,-2848898,Bank,Refurbishing Costs
2024-08-21,Sold plastic drums,M Ehtisham,0,188224,-5910258,Cash,Sales - Plastic Drums
2024-08-21,Steel drums yreceived,TCS Courielr,774872,0,-10129640,Cash,Purchases - Steel Drums
2024-08-21,Printer ink,Punjab Chemicals,2205,0,-20769174,Bank,Office Supplies
2024-08-21,monthly warehouse rent,Bank Al Falah,22718,0,-6059216,Cash,Rent
2024-08-21,Godown rent,Regular Client,50946,0,-16600043,Cash,Rent
2024-08-21,IBC tank procuremhent,Pakistan Drums Co,671334,0,-4401385,Cash,Purchases - IBC Tanks
2024-08-21,Godown rent,Local Supplier,30610,0,-11432298,Bank,Rent
2024-08-22,Sold steel drums,Meezan Bank,0,349681,-13939068,Cash,Sales - Steel Drums
2024-08-22,Gas charges,Habib Bank,18826,0,324120,Bank,Utilities
2024-08-22,Bought IBC tanks HTG Petro,TCS Courier,508525,0,-20895268,Bank,Purchases - IBC Tanks
2024-08-22,IBC tank procurement,Mevezan Bank,457702,0,-13257650,Cash,Purchases - IBC Tanks
2024-08-22,Sundry charges,HTG Petro,5737,0,-17160656,Cash,Miscellaneous
2024-08-22,Freight charges,Metro Traders,27236,0,-19299337,Cash,Freight & Conveyance
2024-08-22,Miscellaneous expense,Pakistan Drums Co,5058,0,-23467479,Bank,Miscellaneous
2024-08-22,Invoice plastic drums,Meezan Bank,0,157025,-15181523,Cash,Sales - Plastic Drums
2024-08-22,Plastic drums received,Walk-in Customer,187739,0,-15781647,Bank,Purchases - Plastic Drums
2024-08-23,Plastic drum sale,Meezan Bank,0,161641,7780335,Cash,Sales - Plastic Drums
2024-08-23,drum repair materials,City Freibght,30630,0,-2153309,Bank,Refurbishing Costs
2024-08-23,IBC small tank invoice,Walk-in Customer,0,585482,7877439,Bank,Sales - IBC Tanks
2024-08-23,Gas charges,Local Supplier,8758,0,5306496,Bank,Utilities
